"productName","starTechPrice","ryansPrice","priceDifference"
"MSI Modern 15 B13M Core i5 13th Gen 156 FHD Laptop","91500"
"MSI Modern 15 B13M Core i7 13th Gen 156 FHD Laptop","105500"
"MSI Stealth 17 Studio A13VI Core i9 13th Gen 64GB RAM 4TB SSD RTX 4090 16GB Graphics 173 4K UHD 144Hz Gaming Laptop","TBA"
"Thunderobot 911MT Core i5 12th Gen RTX 3060 6GB Graphics 156 FHD 144Hz Gaming Laptop","139000"
"Asus TUF Dash F15 FX517ZE Core i5 12th Gen RTX 3050 Ti 4GB Graphics 156 FHD WV Gaming Laptop","159000"
"Asus TUF Gaming A15 FA506QM Ryzen 7 5800H RTX 3060 6GB Graphics 156 FHD Gaming Laptop","170900 176000"
"ASUS TUF Gaming A15 FA507RE Ryzen 7 6800H RTX 3050 Ti 4GB Graphics 156 FHD Jaeger Gray Gaming Laptop","153900 180000"
"ASUS TUF Gaming A15 FA507RM Ryzen 7 6800H RTX 3060 6GB Graphics 156 FHD Gaming Laptop","181900 181900"
"Lenovo IdeaPad Gaming 3i Core i7 12th Gen RTX 3050 4GB Graphics 16 2K WUXGA Laptop","165000"
"Lenovo IdeaPad Slim 5i Core i7 12th Gen MX550 2GB Graphics 156 FHD Laptop","155000"
"Microsoft Surface Laptop 5 Core i5 12th Gen 8GB RAM 256GB SSD 135 QHD Multi-Touch Laptop (QZI-00001)","138000"
"MSI Creator Z16 HX Studio B13VFTO Core i7 13th Gen RTX 4060 8GB Graphics 16 2K QHD Gaming Laptop","365000"
"MSI Cyborg 15 A12VE Core i5 12th Gen RTX 4050 6GB Graphics 156 FHD Gaming Laptop","129500"
"MSI Cyborg 15 A12VF Core i7 12th Gen RTX 4060 8GB Graphics 156 FHD Gaming Laptop","158900"
"MSI GF63 THIN 11UC Core i5 11th Gen 512GB SSD RTX 3050 Max-Q 4GB Graphics 156 FHD Gaming Laptop","108500"
"MSI Katana 15 B12UDXK Core i5 12th Gen RTX 3050 4GB Graphics 156 FHD Gaming Laptop","139000"
"MSI Katana GF66 12UC Core i5 12th Gen RTX 3050 4GB Graphics 156 FHD Gaming Laptop","112900"
"MSI Katana GF66 12UEOK Core i5 12th Gen RTX 3060 6GB Graphics 156 FHD Gaming Laptop","127000"
"MSI Pulse 15 B13VFK Core i7 13th Gen RTX 4060 8GB Graphics 156 FHD 360Hz Gaming Laptop","179500"
"MSI Stealth 16 Mercedes-AMG A13VF Core i9 13th Gen RTX 4060 8GB Graphics 16” UHD+ OLED Gaming Laptop","349900"
"MSI Summit E16 Flip Evo A13MT Core i7 13th Gen 16GB RAM 16 FHD+ 165Hz Touch Laptop","183900"
"MSI Sword 15 A12UCX Core i5 12th Gen RTX 2050 4GB Graphics 156 FHD Gaming Laptop","134000"
"MSI Sword 17 A12VE Core i7 12th Gen RTX 4050 6GB Graphics 173 FHD Gaming Laptop","228000"
"Thunderobot 911X Core i5 13th Gen RTX 4060 8GB Graphics 156 FHD 165Hz Gaming Laptop","174900"
"Apple MacBook Air 133-Inch Retina Display 8-core Apple M1 chip with 8GB RAM 256GB SSD (MGN63) Space Gray","106000"
"Asus TUF Dash F15 FX517ZM Intel Core i5 12th Gen RTX 3060 6GB Graphics 156 FHD WV Gaming Laptop","186000"
"Asus TUF Dash F15 FX517ZM Intel Core i7 12th Gen RTX 3060 6GB Graphics 156 FHD WV Gaming Laptop","203000"
"ASUS Zenbook Pro 14 Duo OLED UX8402ZA-M3031W Core i7 12th Gen 145 28K Touch Laptop","224990"
"Lenovo Legion 5i Core i7 12th Gen RTX 3060 6GB Graphics 156 FHD 144Hz Gaming Laptop","248000"
"Lenovo Legion 5i Core i7 12th Gen RTX 3070 8GB Graphics 156 25K 165Hz Gaming Laptop","249000"
"Microsoft Surface Go 3 Core i3 10th Gen 105 MultiTouch Laptop (8VC-00001)","TBA"
"Microsoft Surface Laptop 5 Core i7 12th Gen 16GB RAM 512GB SSD 135 QHD Multi-Touch Laptop (RBG-00001)","198000"
"Microsoft Surface Laptop Studio Core i5 11th Gen 16GB RAM 144 Touchscreen 2-in-1 Laptop (THR-00001)","185000"
"Microsoft Surface Laptop Studio Core i7 11th Gen 16GB RAM 512GB SSD 144 Touchscreen 2-in-1 Laptop (A1Y-00001)","228000"
"Microsoft Surface Laptop Studio Core i7 11th Gen 32GB RAM 1TB SSD 144 Touchscreen 2-in-1 Laptop (ABY-00001)","292000"
"Microsoft Surface Pro 9 Core i5 12th Gen 8GB RAM 512GB SSD 13 Multi-Touch Laptop for Business (QHB-00017)","149000"
"Microsoft Surface Pro 9 Core i7 12th Gen 16GB RAM 256GB SSD 13 Multi-Touch Laptop for Business (QIM-00001)","169500"
"MSI GF63 THIN 11UC Core i7 11th Gen RTX 3050 Max-Q 4GB Graphics 156 FHD Gaming Laptop","TBA"
"MSI GF63 THIN 11UC i7 11th Gen 256GB SSD 1TB HDD RTX 3050 Max-Q 4GB Graphics 156 FHD Gaming Laptop","TBA"
"MSI Raider GE66 12UHS Core i9 12th Gen RTX 3080 Ti 16GB Graphics 156 UHD Gaming Laptop","TBA"
"MSI Raider GE68 HX 13VG Core i9 13th Gen RTX 4070 8GB Graphics 16 4K UHD Gaming Laptop","395000"
"MSI Stealth 16 Mercedes-AMG A13VG Core i9 13th Gen RTX 4070 8GB Graphics 16” UHD+ OLED Gaming Laptop","399900"
"MSI Summit E13 Flip Evo A13MT Core i7 13th Gen 134 FHD+ 120Hz Touch Laptop","TBA"
"MSI Titan GT77HX 13VI Core i9 13th Gen 64GB RAM 4TB SSD RTX 4090 16GB Graphics 173 4K UHD 144Hz Gaming Laptop","774900"
"Apple MacBook Air (2022) Apple M2 Chip 136-Inch Liquid Retina Display 8GB RAM 256GB SSD Midnight #MLY33LLA  MLY33ZPA","141000"
